MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:101893	Pou5f1	POU domain, class 5, transcription factor 1	17		stem cell differentiation			IMP		J:195215 J:259122 	
MGI:1920093	Prdm4	PR domain containing 4	10		regulation of stem cell differentiation			ISO	RGD:619929 	J:155856 	
MGI:1916034	Prickle1	prickle planar cell polarity protein 1	15		negative regulation of cardiac muscle cell myoblast differentiation			ISO	Q96MT3 	J:164563 	
MGI:104779	Prkdc	protein kinase, DNA activated, catalytic polypeptide	16		regulation of hematopoietic stem cell differentiation			IMP		J:287062 	
MGI:1916327	Psmd11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	11		stem cell differentiation			ISO	O00231 	J:164563 	
MGI:97804	Ptn	pleiotrophin	6		positive regulation of stem cell differentiation			IMP		J:91002 	
MGI:97810	Ptprc	protein tyrosine phosphatase, receptor type, C	1		stem cell development			ISO	P08575 	J:164563 	
MGI:1931749	Pum1	pumilio RNA-binding family member 1	4		stem cell differentiation			IMP		J:221548 	
MGI:1925947	Pus7	pseudouridylate synthase 7	5		regulation of hematopoietic stem cell differentiation			ISO	Q96PZ0 	J:164563 	
MGI:1914735	Pwp1	PWP1 homolog, endonuclein	10		positive regulation of stem cell differentiation			IMP		J:223575 	
MGI:2443088	Radil	Ras association and DIL domains	5		neural crest cell migration			IBA	PTN002699125 	J:265628 	
MGI:3610364	Rbm24	RNA binding motif protein 24	13		positive regulation of stem cell differentiation			ISO	Q9BX46 	J:164563 	
MGI:96522	Rbpj	recombination signal binding protein for immunoglobulin kappa J region	5		regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation			IMP		J:178290 	
MGI:1924238	Rdh10	retinol dehydrogenase 10 (all-trans)	1		neural crest cell development			IMP		J:121229 	
MGI:104897	Rest	RE1-silencing transcription factor	5		cardiac muscle cell myoblast differentiation			IDA		J:173137 	
MGI:104897	Rest	RE1-silencing transcription factor	5		negative regulation of amniotic stem cell differentiation			ISO	Q13127 	J:164563 	
MGI:104897	Rest	RE1-silencing transcription factor	5		negative regulation of mesenchymal stem cell differentiation			ISO	Q13127 	J:164563 	
MGI:97902	Ret	ret proto-oncogene	6		neural crest cell migration	happens in esophagus,results in the movement of migratory neural crest cell		IMP	MGI:2449909 	J:106244 	
MGI:99829	Runx2	runt related transcription factor 2	17		stem cell differentiation	happens in branchial arch,results in the differentiation of preosteoblast		IDA		J:125119 	
MGI:107558	Sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	5		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:107558	Sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	5		neural crest cell migration involved in autonomic nervous system development	results in the movement of migratory cranial neural crest cell		IMP		J:134486 	
MGI:107558	Sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	5		neural crest cell migration involved in autonomic nervous system development	results in the movement of migratory trunk neural crest cell		IMP		J:149474 	
MGI:107558	Sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	5		neural crest cell migration involved in autonomic nervous system development			IMP		J:209482 	
MGI:107558	Sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	5		neural crest cell migration involved in sympathetic nervous system development			IMP		J:209482 	
MGI:107558	Sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	5		ventral trunk neural crest cell migration			IMP		J:149474 	
MGI:107561	Sema3b	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	9		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:107557	Sema3c	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	5		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:107557	Sema3c	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	5		neural crest cell migration	happens in outflow tract,results in the movement of migratory neural crest cell		IMP	MGI:2150759 	J:71240 	
MGI:107557	Sema3c	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	5		positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis	is a part of semaphorin-plexin signaling pathway		IDA		J:225355 	
MGI:1860118	Sema3d	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	5		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:1340034	Sema3e	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E	5		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:1096347	Sema3f	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	9		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:1096347	Sema3f	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	9		neural crest cell migration	happens in trunk mesenchyme derived from neural crest,results in the movement of migratory trunk neural crest cell		IMP	MGI:2670663 	J:104892 	
MGI:1096347	Sema3f	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	9		neural crest cell migration involved in autonomic nervous system development	results in the movement of migratory trunk neural crest cell		IMP		J:149474 	
MGI:1096347	Sema3f	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	9		ventral trunk neural crest cell migration			IMP		J:149474 	
MGI:3041242	Sema3g	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G	14		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:107560	Sema4a	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	3		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:107559	Sema4b	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B	7		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:109252	Sema4c	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	1		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:109244	Sema4d	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	13		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:1340055	Sema4f	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain	6		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:1347047	Sema4g	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G	19		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:107556	Sema5a	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	15		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:107555	Sema5b	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B	16		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:1203727	Sema6a	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	18		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:1202889	Sema6b	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B	17		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:1338032	Sema6c	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	3		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:2387661	Sema6d	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	2		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:1306826	Sema7a	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A	9		neural crest cell migration			IBA	PTN000867340 	J:265628 	
MGI:2446244	Setd1a	SET domain containing 1A	7		regulation of hematopoietic stem cell differentiation			ISO	O15047 	J:164563 	
MGI:1918177	Setd2	SET domain containing 2	9		stem cell development			IMP	MGI:4437211 	J:157570 	
MGI:1918177	Setd2	SET domain containing 2	9		stem cell differentiation			IMP		J:243534 	
MGI:1913333	Setd6	SET domain containing 6	8		stem cell differentiation			IDA		J:224806 	
MGI:892014	Sfrp1	secreted frizzled-related protein 1	8		hematopoietic stem cell differentiation			ISO	Q8N474 	J:164563 	
MGI:892014	Sfrp1	secreted frizzled-related protein 1	8		neural crest cell fate commitment			IMP	MGI:3045799 	J:157931 	
MGI:2655364	Shc4	SHC (Src homology 2 domain containing) family, member 4	2		stem cell differentiation			IMP		J:194646 	
MGI:98297	Shh	sonic hedgehog	5		neural crest cell migration	happens in embryo,results in the movement of migratory neural crest cell		IMP	MGI:1857796 	J:99648 	
MGI:98297	Shh	sonic hedgehog	5		stem cell development			IMP		J:84335 	
MGI:102780	Six1	sine oculis-related homeobox 1	12		neural crest cell differentiation	has the participant Ednra		IGI	MGI:105923 	J:241567 	
MGI:2138987	Slc4a11	solute carrier family 4, sodium bicarbonate transporter-like, member 11	2		regulation of mesenchymal stem cell differentiation			IMP		J:304590 	
MGI:894293	Smad4	SMAD family member 4	18		neural crest cell differentiation			IMP		J:153961 	
MGI:108075	Smo	smoothened, frizzled class receptor	6		neural crest cell migration			IGI	MGI:101791 	J:110602 	
MGI:108048	Smyd5	SET and MYND domain containing 5	6		regulation of stem cell differentiation			IMP		J:306885 J:306882 	
MGI:108048	Smyd5	SET and MYND domain containing 5	6		regulation of stem cell differentiation			ISO	Q6GMV2 	J:164563 	
MGI:1096393	Snai2	snail family zinc finger 2	16		neural crest cell development			ISO	O43623 	J:164563 	
MGI:98364	Sox2	SRY (sex determining region Y)-box 2	3		stem cell differentiation	results in the differentiation of embryonic stem cell		IDA		J:156932 	
MGI:98367	Sox5	SRY (sex determining region Y)-box 5	6		positive regulation of mesenchymal stem cell differentiation			ISO	P35711 	J:164563 	
MGI:98368	Sox6	SRY (sex determining region Y)-box 6	7		positive regulation of mesenchymal stem cell differentiation			ISO	P35712 	J:164563 	
MGI:98370	Sox8	SRY (sex determining region Y)-box 8	17		neural crest cell development			IBA	PTN002910099 	J:265628 	
MGI:98370	Sox8	SRY (sex determining region Y)-box 8	17		neural crest cell migration			IMP		J:95755 	
MGI:98371	Sox9	SRY (sex determining region Y)-box 9	11		neural crest cell development	happens in trunk mesenchyme derived from neural crest,results in the development of migratory trunk neural crest cell		IMP	MGI:3041881 	J:105025 	
MGI:98371	Sox9	SRY (sex determining region Y)-box 9	11		positive regulation of mesenchymal stem cell differentiation			ISO	P48436 	J:164563 	
MGI:98358	Sox10	SRY (sex determining region Y)-box 10	15		neural crest cell migration			IBA	PTN002910110 	J:265628 	
MGI:98358	Sox10	SRY (sex determining region Y)-box 10	15		neural crest cell migration			IMP		J:95755 	
MGI:98359	Sox11	SRY (sex determining region Y)-box 11	12		neural crest cell development			IMP		J:175338 	
MGI:107543	Sox17	SRY (sex determining region Y)-box 17	1		stem cell differentiation	results in the differentiation of embryonic stem cell		IMP	MGI:3717118 	J:156932 	
MGI:107543	Sox17	SRY (sex determining region Y)-box 17	1		stem cell fate specification			IDA		J:160232 	
MGI:103559	Sox18	SRY (sex determining region Y)-box 18	2		stem cell fate specification			IDA		J:160232 	
MGI:2654070	Sox21	SRY (sex determining region Y)-box 21	14		stem cell differentiation			ISO	Q9Y651 	J:164563 	
MGI:2153568	Sp7	Sp7 transcription factor 7	15		hematopoietic stem cell differentiation			ISO	Q8TDD2 	J:164563 	
MGI:2153568	Sp7	Sp7 transcription factor 7	15		positive regulation of stem cell differentiation			ISO	Q8TDD2 	J:164563 	
MGI:106658	Srf	serum response factor	17		hematopoietic stem cell differentiation	happens in bone marrow,results in the differentiation of hematopoietic multipotent progenitor cell|happens in bone marrow,results in the differentiation of hematopoietic stem cell		IMP	MGI:2176073 MGI:3046779 	J:166639 	
MGI:106658	Srf	serum response factor	17		positive regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation			IMP		J:173014 	
MGI:106658	Srf	serum response factor	17		positive regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation			ISO	P11831 	J:164563 	
MGI:103038	Stat3	signal transducer and activator of transcription 3	11		negative regulation of stem cell differentiation			IMP		J:223575 	
MGI:98472	T	brachyury, T-box transcription factor T	17		positive regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation			IMP		J:180827 	
MGI:98472	T	brachyury, T-box transcription factor T	17		positive regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation			ISO	O15178 	J:164563 	
MGI:1861606	Tacstd2	tumor-associated calcium signal transducer 2	6		positive regulation of stem cell differentiation			IBA	PTN000366719 	J:265628 	
MGI:1861606	Tacstd2	tumor-associated calcium signal transducer 2	6		positive regulation of stem cell differentiation			IDA		J:188255 	
MGI:98480	Tal1	T cell acute lymphocytic leukemia 1	4		hematopoietic stem cell differentiation	results in the differentiation of short term hematopoietic stem cell		IMP	MGI:2176073 MGI:2450743 	J:90290 	
MGI:98480	Tal1	T cell acute lymphocytic leukemia 1	4		hematopoietic stem cell differentiation	happens in liver,results in the differentiation of hematopoietic stem cell		IMP	MGI:2450311 MGI:2661471 	J:98971 	
MGI:98493	Tbx1	T-box 1	16		neural crest cell migration	happens in rhombomere 4 roof plate,results in the movement of migratory cranial neural crest cell|happens in 2nd branchial arch,results in the movement of migratory cranial neural crest cell		IMP	MGI:2179190 	J:96463 	
MGI:98493	Tbx1	T-box 1	16		neural crest cell migration	happens in branchial arch,results in the movement of migratory cranial neural crest cell		IMP	MGI:2179191 	J:163487 	
MGI:98494	Tbx2	T-box 2	11		regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation	uses UniProtKB:P05125|uses UniProtKB:Q01231		IDA		J:93610 	
MGI:102541	Tbx5	T-box 5	5		positive regulation of cardioblast differentiation			ISO	Q99593 	J:164563 	
MGI:1202876	Tcf7l1	transcription factor 7 like 1 (T cell specific, HMG box)	6		stem cell differentiation			IMP	MGI:3044616 	J:114674 	
MGI:104664	Tcf15	transcription factor 15	2		negative regulation of hematopoietic stem cell differentiation			IDA		J:297822 	
MGI:104664	Tcf15	transcription factor 15	2		positive regulation of stem cell differentiation			IMP		J:302456 	
MGI:892003	Tcof1	treacle ribosome biogenesis factor 1	18		neural crest cell development			ISO	Q13428 	J:164563 	
MGI:104904	Tead2	TEA domain family member 2	7		regulation of stem cell differentiation			IMP		J:182976 	
MGI:109558	Terc	telomerase RNA component	3		hematopoietic stem cell differentiation	happens in bone marrow,results in the differentiation of hematopoietic stem cell		IMP	MGI:1857930 	J:122781 	
MGI:104671	Tfap2a	transcription factor AP-2, alpha	13		neural crest cell development	happens in embryo,results in the development of migratory cranial neural crest cell		IMP	MGI:2176682 	J:33031 	
MGI:98726	Tgfb2	transforming growth factor, beta 2	1		cardioblast differentiation			ISO	P61812 	J:164563 	
MGI:98726	Tgfb2	transforming growth factor, beta 2	1		positive regulation of cardioblast differentiation			ISO	P61812 	J:164563 	
MGI:2137352	Trim6	tripartite motif-containing 6	7		negative regulation of stem cell differentiation	uses UniProtKB:Q80Z64,happens in embryonic stem cell,uses UniProtKB:P09056		IMP		J:197300 	
MGI:98834	Trp53	transformation related protein 53	11		hematopoietic stem cell differentiation			ISO	P04637 	J:164563 	
MGI:1330810	Trp63	transformation related protein 63	16		squamous basal epithelial stem cell differentiation involved in prostate gland acinus development			IMP	MGI:1934580 	J:93615 	
MGI:98872	Twist1	twist basic helix-loop-helix transcription factor 1	12		cardiac neural crest cell development involved in outflow tract morphogenesis			IMP	MGI:1857265 	J:138404 	
MGI:98872	Twist1	twist basic helix-loop-helix transcription factor 1	12		cardiac neural crest cell migration involved in outflow tract morphogenesis			IMP	MGI:1857265 	J:138404 	
MGI:1914740	Ufl1	UFM1 specific ligase 1	4		hematopoietic stem cell differentiation			IMP		J:238253 	
MGI:1921298	Vsir	V-set immunoregulatory receptor	10		positive regulation of stem cell differentiation	regulates the differentiation of embryonic stem cell		IGI	MGI:2676809 	J:192401 	
MGI:1921298	Vsir	V-set immunoregulatory receptor	10		stem cell differentiation	results in the differentiation of stem cell		IMP		J:193667 	
MGI:98955	Wnt3	wingless-type MMTV integration site family, member 3	11		canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation			ISO	P56703 	J:164563 	
MGI:98956	Wnt3a	wingless-type MMTV integration site family, member 3A	11		negative regulation of heart induction by canonical Wnt signaling pathway			ISO	P56704 	J:164563 	
MGI:98961	Wnt7a	wingless-type MMTV integration site family, member 7A	6		stem cell development			ISO	O00755 	J:164563 	
MGI:98962	Wnt7b	wingless-type MMTV integration site family, member 7B	15		stem cell development			IDA		J:84335 	
MGI:108071	Wnt10a	wingless-type MMTV integration site family, member 10A	1		neural crest cell differentiation			IDA		J:121904 	
MGI:104517	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5	1		hematopoietic stem cell differentiation	happens in bone marrow,results in the differentiation of hematopoietic stem cell		IMP	MGI:2152542 	J:122781 	
MGI:103262	Yap1	yes-associated protein 1	9		negative regulation of stem cell differentiation			IDA		J:160813 	
MGI:2444233	Ythdf2	YTH N6-methyladenosine RNA binding protein 2	4		negative regulation of stem cell differentiation			ISO	Q9Y5A9 	J:164563 	
MGI:2444233	Ythdf2	YTH N6-methyladenosine RNA binding protein 2	4		regulation of hematopoietic stem cell differentiation			IMP		J:276493 J:276511 	
MGI:1344407	Zeb2	zinc finger E-box binding homeobox 2	2		neural crest cell migration	results in the movement of migratory cranial neural crest cell,results in the movement of migratory cranial neural crest cell		IMP	MGI:2387501 	J:82084 	
MGI:107945	Zfp36l2	zinc finger protein 36, C3H type-like 2	17		negative regulation of stem cell differentiation			IMP		J:199080 	
MGI:3029290	Zfp281	zinc finger protein 281	1		stem cell differentiation			IMP		J:190108 J:190201 	
MGI:2685243	Zscan4c	zinc finger and SCAN domain containing 4C	7		stem cell differentiation			TAS		J:158887 	
MGI:3040700	Zscan10	zinc finger and SCAN domain containing 10	17		stem cell differentiation			TAS		J:118084 J:126045 	

